froi1,froi2,overlap,run1,run2,subject
1,5,0.0,1,orth1,040
1,6,0.0,1,orth1,040
1,7,0.0,1,orth1,040
1,8,0.0,1,orth1,040
1,9,0.0,1,orth1,040
1,10,0.0,1,orth1,040
1,11,0.0,1,orth1,040
2,1,0.0,1,orth1,040
2,2,0.02586206896551724,1,orth1,040
2,3,0.0,1,orth1,040
2,4,0.0,1,orth1,040
2,5,0.0,1,orth1,040
2,6,0.0,1,orth1,040
2,7,0.0,1,orth1,040
2,8,0.0,1,orth1,040
2,9,0.0,1,orth1,040
2,10,0.0,1,orth1,040
2,11,0.0,1,orth1,040
3,1,0.0,1,orth1,040
3,2,0.0,1,orth1,040
3,3,0.022099447513812154,1,orth1,040
3,4,0.0,1,orth1,040
3,5,0.0,1,orth1,040
3,6,0.0,1,orth1,040
3,7,0.0,1,orth1,040
3,8,0.0,1,orth1,040
3,9,0.0,1,orth1,040
3,10,0.0,1,orth1,040
3,11,0.0,1,orth1,040
4,1,0.0,1,orth1,040
4,2,0.0,1,orth1,040
4,3,0.0,1,orth1,040
4,4,0.08,1,orth1,040
4,5,0.0,1,orth1,040
4,6,0.0,1,orth1,040
4,7,0.0,1,orth1,040
4,8,0.0,1,orth1,040
4,9,0.0,1,orth1,040
4,10,0.0,1,orth1,040
4,11,0.0,1,orth1,040
5,1,0.0,1,orth1,040
5,2,0.0,1,orth1,040
5,3,0.0,1,orth1,040
5,4,0.0,1,orth1,040
5,5,0.1271186440677966,1,orth1,040
5,6,0.0,1,orth1,040
5,7,0.0,1,orth1,040
5,8,0.0,1,orth1,040
5,9,0.0,1,orth1,040
5,10,0.0,1,orth1,040
5,11,0.0,1,orth1,040
6,1,0.0,1,orth1,040
6,2,0.0,1,orth1,040
6,3,0.0,1,orth1,040
6,4,0.0,1,orth1,040
6,5,0.0,1,orth1,040
6,6,0.15306122448979592,1,orth1,040
6,7,0.0,1,orth1,040
6,8,0.0,1,orth1,040
6,9,0.0,1,orth1,040
6,10,0.0,1,orth1,040
6,11,0.0,1,orth1,040
7,1,0.0,1,orth1,040
7,2,0.0,1,orth1,040
7,3,0.0,1,orth1,040
7,4,0.0,1,orth1,040
7,5,0.0,1,orth1,040
7,6,0.0,1,orth1,040
7,7,0.0,1,orth1,040
7,8,0.0,1,orth1,040
7,9,0.0,1,orth1,040
7,10,0.0,1,orth1,040
7,11,0.0,1,orth1,040
8,1,0.0,1,orth1,040
8,2,0.0,1,orth1,040
8,3,0.0,1,orth1,040
8,4,0.0,1,orth1,040
8,5,0.0,1,orth1,040
8,6,0.0,1,orth1,040
8,7,0.0,1,orth1,040
8,8,0.07476635514018691,1,orth1,040
8,9,0.0,1,orth1,040
8,10,0.0,1,orth1,040
8,11,0.0,1,orth1,040
9,1,0.0,1,orth1,040
9,2,0.0,1,orth1,040
9,3,0.0,1,orth1,040
9,4,0.0,1,orth1,040
9,5,0.0,1,orth1,040
9,6,0.0,1,orth1,040
9,7,0.0,1,orth1,040
9,8,0.0,1,orth1,040
9,9,0.2,1,orth1,040
9,10,0.0,1,orth1,040
9,11,0.0,1,orth1,040
10,1,0.0,1,orth1,040
10,2,0.0,1,orth1,040
10,3,0.0,1,orth1,040
10,4,0.0,1,orth1,040
10,5,0.0,1,orth1,040
10,6,0.0,1,orth1,040
10,7,0.0,1,orth1,040
10,8,0.0,1,orth1,040
10,9,0.0,1,orth1,040
10,10,0.017241379310344827,1,orth1,040
10,11,0.0,1,orth1,040
11,1,0.0,1,orth1,040
11,2,0.0,1,orth1,040
11,3,0.0,1,orth1,040
11,4,0.0,1,orth1,040
11,5,0.0,1,orth1,040
11,6,0.0,1,orth1,040
11,7,0.0,1,orth1,040
11,8,0.0,1,orth1,040
11,9,0.0,1,orth1,040
11,10,0.0,1,orth1,040
11,11,0.09090909090909091,1,orth1,040
1,1,0.21910112359550563,2,orth2,040
1,2,0.0,2,orth2,040
1,3,0.0,2,orth2,040
1,4,0.0,2,orth2,040
1,5,0.0,2,orth2,040
1,6,0.0,2,orth2,040
1,7,0.0,2,orth2,040
1,8,0.0,2,orth2,040
1,9,0.0,2,orth2,040
1,10,0.0,2,orth2,040
1,11,0.0,2,orth2,040
2,1,0.0,2,orth2,040
2,2,0.2413793103448276,2,orth2,040
2,3,0.0,2,orth2,040
2,4,0.0,2,orth2,040
2,5,0.0,2,orth2,040
2,6,0.0,2,orth2,040
2,7,0.0,2,orth2,040
2,8,0.0,2,orth2,040
2,9,0.0,2,orth2,040
2,10,0.0,2,orth2,040
2,11,0.0,2,orth2,040
3,1,0.0,2,orth2,040
3,2,0.0,2,orth2,040
3,3,0.24861878453038674,2,orth2,040
3,4,0.0,2,orth2,040
3,5,0.0,2,orth2,040
3,6,0.0,2,orth2,040
3,7,0.0,2,orth2,040
3,8,0.0,2,orth2,040
3,9,0.0,2,orth2,040
3,10,0.0,2,orth2,040
3,11,0.0,2,orth2,040
4,1,0.0,2,orth2,040
4,2,0.0,2,orth2,040
4,3,0.0,2,orth2,040
4,4,0.064,2,orth2,040
4,5,0.0,2,orth2,040
4,6,0.0,2,orth2,040
4,7,0.0,2,orth2,040
4,8,0.0,2,orth2,040
4,9,0.0,2,orth2,040
4,10,0.0,2,orth2,040
4,11,0.0,2,orth2,040
5,1,0.0,2,orth2,040
5,2,0.0,2,orth2,040
5,3,0.0,2,orth2,040
5,4,0.0,2,orth2,040
5,5,0.1016949152542373,2,orth2,040
5,6,0.0,2,orth2,040
5,7,0.0,2,orth2,040
5,8,0.0,2,orth2,040
5,9,0.0,2,orth2,040
5,10,0.0,2,orth2,040
5,11,0.0,2,orth2,040
6,1,0.0,2,orth2,040
6,2,0.0,2,orth2,040
6,3,0.0,2,orth2,040
6,4,0.0,2,orth2,040
6,5,0.0,2,orth2,040
6,6,0.19387755102040816,2,orth2,040
6,7,0.0,2,orth2,040
6,8,0.0,2,orth2,040
6,9,0.0,2,orth2,040
6,10,0.0,2,orth2,040
6,11,0.0,2,orth2,040
7,1,0.0,2,orth2,040
7,2,0.0,2,orth2,040
7,3,0.0,2,orth2,040
7,4,0.0,2,orth2,040
7,5,0.0,2,orth2,040
7,6,0.0,2,orth2,040
7,7,0.043478260869565216,2,orth2,040
7,8,0.0,2,orth2,040
7,9,0.0,2,orth2,040
